trial_count,LF/HF(rest_before),LF/HF(task),LF/HF(rest_after)
0,1.6209020776395062,1.8505099159133798,1.875979901042262
1,1.665329530928731,1.2655377595801773,1.5878070516459097
2,1.9348175042984834,1.4297500498112583,1.5890412007857433
3,1.2426119904768411,1.5827601161575326,1.6153307540245045
4,1.5870814443294783,1.2011645743376729,1.7462614838853003
5,1.3419813301078827,1.6030833912331282,1.4608036678850402
6,1.5592867244380315,1.351508105108457,1.653283189677856
7,1.5302116438761317,1.544244391961433,1.7339247574358465
8,1.6578207548247856,1.3841155360619914,1.5982151391539263
9,1.4743008497297843,1.6337338994357098,1.466571112380429
10,1.3218107609335674,1.9301704718584254,1.4002777770273465
11,1.3218107609336054,1.9301704718586299,1.766384993245839
12,1.3218107609337642,1.9301704718587434,1.7663849932458682
13,1.3218107609335576,1.9301704718584471,1.4002777770273156
14,1.3218107609336367,1.9301704718586261,1.7663849932457678
15,1.3218107609336363,1.9301704718586934,1.7663849932458207
16,1.3218107609334826,1.9301704718584536,1.4002777770273735
17,1.3218107609336702,1.930170471858702,1.7663849932458153
18,1.3218107609338543,1.930170471858674,1.766384993245812
19,1.3218107609335106,1.9301704718587174,1.4002777770273453
